
('cs-vn-1001', '65 Lê Lợi, Phường Bến Nghé', 'Quận 1', 1, 'cpo-vgreen', 'Trạm sạc Vincom Center', 10.7778, 106.7022),
('cs-vn-1158', '82 Hải Thượng Lãn Ông, Phường 10', 'Quận 5', 1, 'cpo-eboost', 'Trạm sạc Chợ Lớn', 10.7501, 106.6595),
('cs-vn-1159', '11 Nguyễn Trãi, Phường 2', 'Quận 5', 0, 'cpo-eboost', 'Trạm sạc Nguyễn Trãi', 10.7605, 106.6781),
('cs-vn-1160', '391 Trần Hưng Đạo, Phường 10', 'Quận 5', 1, 'cpo-datbike', 'Trạm sạc Bệnh Viện Chấn Thương Chỉnh Hình', 10.7555, 106.6691),
('cs-vn-1161', '105 Lương Nhữ Học, Phường 11', 'Quận 5', 1, 'cpo-vgreen', 'Trạm sạc Phố Lồng Đèn', 10.7521, 106.6605),
('cs-vn-1162', '45 Mạc Thiên Tích, Phường 11', 'Quận 5', 1, 'cpo-vgreen', 'Trạm sạc Mạc Thiên Tích', 10.7541, 106.6621),
('cs-vn-1163', '201 Nguyễn Tri Phương, Phường 9', 'Quận 5', 0, 'cpo-datbike', 'Trạm sạc Ngã Tư Nguyễn Tri Phương', 10.7585, 106.6661),
('cs-vn-1164', '50 Tản Đà, Phường 10', 'Quận 5', 1, 'cpo-vgreen', 'Trạm sạc Tản Đà Court', 10.7545, 106.6645),
('cs-vn-1165', '120 Trần Bình Trọng, Phường 2', 'Quận 5', 1, 'cpo-eboost', 'Trạm sạc Trần Bình Trọng', 10.7581, 106.6751),
('cs-vn-1166', '15 Võ Văn Kiệt, Phường 1', 'Quận 5', 1, 'cpo-eboost', 'Trạm sạc Cầu Chữ Y', 10.7555, 106.6805),

-- KHU VỰC QUẬN 11
('cs-vn-1167', '182 Lê Đại Hành, Phường 15', 'Quận 11', 1, 'cpo-vgreen', 'Trạm sạc The Emporium', 10.7654, 106.6541),
('cs-vn-1168', '3 Hòa Bình, Phường 3', 'Quận 11', 1, 'cpo-eboost', 'Trạm sạc Công Viên Đầm Sen', 10.7665, 106.6385),
('cs-vn-1169', '205 Lạc Long Quân, Phường 3', 'Quận 11', 1, 'cpo-datbike', 'Trạm sạc Lạc Long Quân Q11', 10.7651, 106.6415),
('cs-vn-1170', '16 Lãnh Binh Thăng, Phường 13', 'Quận 11', 0, 'cpo-vgreen', 'Trạm sạc Lãnh Binh Thăng', 10.7635, 106.6481),
('cs-vn-1171', '212 Bình Thới, Phường 14', 'Quận 11', 1, 'cpo-eboost', 'Trạm sạc Vòng Xoay Lê Đại Hành', 10.7681, 106.6455),
('cs-vn-1172', '315 Lê Đại Hành, Phường 13', 'Quận 11', 1, 'cpo-datbike', 'Trạm sạc Chợ Thiếc', 10.7615, 106.6521),
('cs-vn-1173', '110 Ông Ích Khiêm, Phường 10', 'Quận 11', 1, 'cpo-vgreen', 'Trạm sạc Ông Ích Khiêm', 10.7661, 106.6421),
('cs-vn-1174', '50 Minh Phụng, Phường 5', 'Quận 11', 1, 'cpo-eboost', 'Trạm sạc Minh Phụng', 10.7621, 106.6381),
('cs-vn-1175', '45 Tôn Thất Hiệp, Phường 13', 'Quận 11', 0, 'cpo-datbike', 'Trạm sạc Tôn Thất Hiệp', 10.7625, 106.6495),
('cs-vn-1176', '150 Đường 3 Tháng 2, Phường 16', 'Quận 11', 1, 'cpo-vgreen', 'Trạm sạc Cầu Vượt Cây Gõ', 10.7585, 106.6455),
('cs-vn-1177', '18 Tân Hóa, Phường 1', 'Quận 11', 1, 'cpo-vgreen', 'Trạm sạc Kênh Tân Hóa', 10.7601, 106.6355),
('cs-vn-1178', '85 Đội Cung, Phường 11', 'Quận 11', 1, 'cpo-datbike', 'Trạm sạc Đội Cung', 10.7651, 106.6465),
('cs-vn-1179', '200 Phú Thọ, Phường 4', 'Quận 11', 1, 'cpo-vgreen', 'Trạm sạc Chợ Phú Thọ', 10.7605, 106.6435),
('cs-vn-1180', '19 Thái Phiên, Phường 16', 'Quận 11', 0, 'cpo-eboost', 'Trạm sạc Thái Phiên', 10.7595, 106.6475),
('cs-vn-1181', '30 Nguyễn Chí Thanh, Phường 16', 'Quận 11', 1, 'cpo-eboost', 'Trạm sạc Bệnh Viện Chợ Rẫy Q11', 10.7571, 106.6531),
('cs-vn-1182', '55 Hồng Bàng, Phường 16', 'Quận 11', 1, 'cpo-vgreen', 'Trạm sạc Cây Gõ', 10.7565, 106.6441),

-- KHU VỰC TÂN PHÚ
('cs-vn-1183', '30 Bờ Bao Tân Thắng, Phường Sơn Kỳ', 'Tân Phú', 1, 'cpo-vgreen', 'Trạm sạc Aeon Mall Tân Phú', 10.8016, 106.6163),
('cs-vn-1184', '212 Thoại Ngọc Hầu, Phường Phú Thạnh', 'Tân Phú', 1, 'cpo-eboost', 'Trạm sạc Big C Phú Thạnh', 10.7855, 106.6285),
('cs-vn-1185', '685 Âu Cơ, Phường Tân Thành', 'Tân Phú', 1, 'cpo-eboost', 'Trạm sạc Ngã Ba Bà Quẹo', 10.7951, 106.6351),
('cs-vn-1186', '239 Lũy Bán Bích, Phường Hiệp Tân', 'Tân Phú', 1, 'cpo-datbike', 'Trạm sạc Co.opmart Hòa Bình', 10.7785, 106.6261),
('cs-vn-1187', '90 Tân Sơn Nhì, Phường Tân Sơn Nhì', 'Tân Phú', 0, 'cpo-vgreen', 'Trạm sạc Tân Sơn Nhì', 10.8021, 106.6301),
('cs-vn-1188', '15 Vườn Lài, Phường Phú Thọ Hòa', 'Tân Phú', 1, 'cpo-datbike', 'Trạm sạc Chợ Vườn Lài', 10.7925, 106.6251),
('cs-vn-1189', '258 Lê Trọng Tấn, Phường Tây Thạnh', 'Tân Phú', 1, 'cpo-vgreen', 'Trạm sạc Đại học Công Thương', 10.8085, 106.6185),
('cs-vn-1190', '100 Trương Vĩnh Ký, Phường Tân Thành', 'Tân Phú', 1, 'cpo-eboost', 'Trạm sạc Trương Vĩnh Ký', 10.7961, 106.6281),
('cs-vn-1191', '50 Độc Lập, Phường Tân Thành', 'Tân Phú', 0, 'cpo-eboost', 'Trạm sạc Độc Lập', 10.7935, 106.6291),
('cs-vn-1192', '120 Gò Dầu, Phường Tân Quý', 'Tân Phú', 1, 'cpo-datbike', 'Trạm sạc Gò Dầu', 10.7965, 106.6215),
('cs-vn-1193', '45 Tân Kỳ Tân Quý, Phường Tân Sơn Nhì', 'Tân Phú', 1, 'cpo-vgreen', 'Trạm sạc Tân Kỳ Tân Quý', 10.8035, 106.6255),
('cs-vn-1194', '180 Kênh Tân Hóa, Phường Phú Trung', 'Tân Phú', 1, 'cpo-vgreen', 'Trạm sạc Phú Trung', 10.7751, 106.6355),
('cs-vn-1195', '55 Thạch Lam, Phường Hiệp Tân', 'Tân Phú', 1, 'cpo-datbike', 'Trạm sạc Thạch Lam', 10.7815, 106.6241),
('cs-vn-1196', '95 Bình Long, Phường Bình Hưng Hòa A', 'Tân Phú', 1, 'cpo-vgreen', 'Trạm sạc Bình Long', 10.7865, 106.6151),
('cs-vn-1197', '210 Tây Thạnh, Phường Tây Thạnh', 'Tân Phú', 1, 'cpo-eboost', 'Trạm sạc KCN Tân Bình', 10.8121, 106.6221),
('cs-vn-1198', '115 Nguyễn Sơn, Phường Phú Thạnh', 'Tân Phú', 1, 'cpo-eboost', 'Trạm sạc Chợ Nguyễn Sơn', 10.7881, 106.6255),
('cs-vn-1199', '20 Dân Tộc, Phường Tân Thành', 'Tân Phú', 0, 'cpo-datbike', 'Trạm sạc Dân Tộc', 10.7915, 106.6321),
('cs-vn-1200', '85 Cây Keo, Phường Hiệp Tân', 'Tân Phú', 1, 'cpo-vgreen', 'Trạm sạc Cây Keo', 10.7821, 106.6211),

('cs-vn-1201', '1 Tôn Thất Thuyết, Phường 1', 'Quận 4', 1, 'cpo-eboost', 'Trạm sạc Gold View', 10.7585, 106.6955),
('cs-vn-1202', '132 Bến Vân Đồn, Phường 6', 'Quận 4', 1, 'cpo-vgreen', 'Trạm sạc Millennium', 10.7612, 106.7012),
('cs-vn-1203', '346 Bến Vân Đồn, Phường 1', 'Quận 4', 1, 'cpo-eboost', 'Trạm sạc Icon 56', 10.7551, 106.7034),
('cs-vn-1204', '01 Đoàn Văn Bơ, Phường 12', 'Quận 4', 1, 'cpo-datbike', 'Trạm sạc REE Tower', 10.7635, 106.7055),
('cs-vn-1205', '122 Nguyễn Tất Thành, Phường 13', 'Quận 4', 1, 'cpo-vgreen', 'Trạm sạc ĐH Luật TP.HCM', 10.7621, 106.7088),
('cs-vn-1206', '02 Nguyễn Tất Thành, Phường 12', 'Quận 4', 1, 'cpo-datbike', 'Trạm sạc Bến Cảng Nhà Rồng', 10.7685, 106.7075),
('cs-vn-1207', 'Vĩnh Hội, Phường 4', 'Quận 4', 1, 'cpo-vgreen', 'Trạm sạc Chung cư Vĩnh Hội', 10.7565, 106.6985),
('cs-vn-1208', 'Tôn Đản, Phường 13', 'Quận 4', 0, 'cpo-eboost', 'Trạm sạc Chợ Tôn Đản', 10.7595, 106.7025),
('cs-vn-1209', '183 Bến Vân Đồn, Phường 2', 'Quận 4', 1, 'cpo-eboost', 'Trạm sạc River Gate', 10.7575, 106.6975),
('cs-vn-1210', '151-155 Bến Vân Đồn, Phường 6', 'Quận 4', 1, 'cpo-vgreen', 'Trạm sạc Grand Riverside', 10.7591, 106.6991),
('cs-vn-1211', 'Hoàng Diệu, Phường 12', 'Quận 4', 1, 'cpo-eboost', 'Trạm sạc Sacombank Q4', 10.7615, 106.7035),
('cs-vn-1212', 'Nguyễn Khoái, Phường 1', 'Quận 4', 1, 'cpo-vgreen', 'Trạm sạc Chung cư Galaxy', 10.7558, 106.6941),
('cs-vn-1213', 'Lê Quốc Hưng, Phường 12', 'Quận 4', 1, 'cpo-eboost', 'Trạm sạc Chợ Xóm Chiếu', 10.7641, 106.7051),
('cs-vn-1214', 'Bến Vân Đồn, Phường 5', 'Quận 4', 1, 'cpo-datbike', 'Trạm sạc The Tresor', 10.7605, 106.7001),
('cs-vn-1215', 'Tôn Thất Thuyết, Phường 15', 'Quận 4', 0, 'cpo-vgreen', 'Trạm sạc Cầu Tân Thuận 2', 10.7511, 106.7121),
('cs-vn-1216', 'Xóm Chiếu, Phường 16', 'Quận 4', 1, 'cpo-vgreen', 'Trạm sạc Nhà thờ Xóm Chiếu', 10.7581, 106.7085),
('cs-vn-1217', 'Đoàn Văn Bơ, Phường 14', 'Quận 4', 1, 'cpo-datbike', 'Trạm sạc Cầu Calmette Q4', 10.7601, 106.7021),
('cs-vn-1218', 'Khánh Hội, Phường 3', 'Quận 4', 1, 'cpo-eboost', 'Trạm sạc Lô U Chung cư KH', 10.7541, 106.6955),
('cs-vn-1219', 'Nguyễn Hữu Hào, Phường 6', 'Quận 4', 1, 'cpo-eboost', 'Trạm sạc Chung cư H1', 10.7588, 106.6995),
('cs-vn-1220', 'Tôn Thất Thuyết, Phường 1', 'Quận 4', 1, 'cpo-vgreen', 'Trạm sạc Riva Park', 10.7535, 106.7081),
('cs-vn-1221', 'Hoàng Diệu, Phường 9', 'Quận 4', 1, 'cpo-datbike', 'Trạm sạc H3 Building', 10.7625, 106.7015),
('cs-vn-1222', 'Lê Văn Linh, Phường 12', 'Quận 4', 1, 'cpo-vgreen', 'Trạm sạc Bưu điện Q4', 10.7645, 106.7061),
('cs-vn-1223', 'Nguyễn Trường Tộ, Phường 12', 'Quận 4', 1, 'cpo-datbike', 'Trạm sạc Trường ĐH Nguyễn Tất Thành', 10.7655, 106.7071),
('cs-vn-1224', 'Đoàn Văn Bơ, Phường 10', 'Quận 4', 0, 'cpo-vgreen', 'Trạm sạc Cầu Kênh Tẻ Q4', 10.7541, 106.7011),
('cs-vn-1225', 'Bến Vân Đồn, Phường 12', 'Quận 4', 1, 'cpo-eboost', 'Trạm sạc Royal Garden', 10.7631, 106.7041),
('cs-vn-1226', 'Tôn Đản, Phường 4', 'Quận 4', 1, 'cpo-eboost', 'Trạm sạc Lô C Tôn Đản', 10.7571, 106.7045),
('cs-vn-1227', 'Khánh Hội, Phường 4', 'Quận 4', 1, 'cpo-vgreen', 'Trạm sạc Công viên 214', 10.7555, 106.6961),
('cs-vn-1228', 'Hoàng Diệu, Phường 5', 'Quận 4', 1, 'cpo-datbike', 'Trạm sạc Vietcombank Q4', 10.7611, 106.6985),
('cs-vn-1229', 'Vĩnh Khánh, Phường 10', 'Quận 4', 1, 'cpo-vgreen', 'Trạm sạc Phố ẩm thực Vĩnh Khánh', 10.7585, 106.7031),
('cs-vn-1230', 'Ngô Văn Sở, Phường 13', 'Quận 4', 1, 'cpo-datbike', 'Trạm sạc Cảng Sài Gòn', 10.7615, 106.7101),
('cs-vn-1231', 'Tôn Thất Thuyết, Phường 18', 'Quận 4', 1, 'cpo-vgreen', 'Trạm sạc Chung cư H3', 10.7551, 106.7151),
('cs-vn-1232', 'Đinh Lễ, Phường 12', 'Quận 4', 1, 'cpo-eboost', 'Trạm sạc Đinh Lễ Building', 10.7651, 106.7055),
('cs-vn-1233', 'Vĩnh Hội, Phường 4', 'Quận 4', 1, 'cpo-eboost', 'Trạm sạc Sân vận động Q4', 10.7558, 106.6971),
('cs-vn-1234', 'Nguyễn Khoái, Phường 2', 'Quận 4', 1, 'cpo-vgreen', 'Trạm sạc Cầu Nguyễn Khoái', 10.7545, 106.6935),
('cs-vn-1235', 'Bến Vân Đồn, Phường 1', 'Quận 4', 0, 'cpo-datbike', 'Trạm sạc Orient Apartment', 10.7561, 106.6911),
('cs-vn-1236', 'Nguyễn Tất Thành, Phường 18', 'Quận 4', 1, 'cpo-vgreen', 'Trạm sạc Cầu Tân Thuận 1', 10.7525, 106.7131),
('cs-vn-1237', 'Lê Thạch, Phường 12', 'Quận 4', 1, 'cpo-datbike', 'Trạm sạc Chi cục Thuế Q4', 10.7635, 106.7065),
('cs-vn-1238', 'Đoàn Như Hài, Phường 12', 'Quận 4', 1, 'cpo-vgreen', 'Trạm sạc Trung tâm Y tế Q4', 10.7648, 106.7058),
('cs-vn-1239', 'Khánh Hội, Phường 2', 'Quận 4', 1, 'cpo-eboost', 'Trạm sạc Trường THCS Vân Đồn', 10.7568, 106.6968),
('cs-vn-1240', 'Bến Vân Đồn, Phường 2', 'Quận 4', 1, 'cpo-eboost', 'Trạm sạc Saigon Royal', 10.7618, 106.7038),

-- PHẦN 2: QUẬN 6 (1241 - 1290)
('cs-vn-1241', '285 Hậu Giang, Phường 5', 'Quận 6', 1, 'cpo-vgreen', 'Trạm sạc Co.opmart Hậu Giang', 10.7485, 106.6355),
('cs-vn-1242', '101 Mai Xuân Thưởng, Phường 4', 'Quận 6', 1, 'cpo-datbike', 'Trạm sạc Chợ Bình Tây', 10.7505, 106.6501),
('cs-vn-1243', '116 Tân Hòa Đông, Phường 14', 'Quận 6', 1, 'cpo-eboost', 'Trạm sạc Phố ẩm thực Quận 6', 10.7555, 106.6285),
('cs-vn-1244', 'Kinh Dương Vương, Phường 12', 'Quận 6', 1, 'cpo-eboost', 'Trạm sạc Galaxy Kinh Dương Vương', 10.7451, 106.6281),
('cs-vn-1245', '242 Bà Hom, Phường 13', 'Quận 6', 0, 'cpo-vgreen', 'Trạm sạc Chợ Bà Hom', 10.7521, 106.6185),
('cs-vn-1246', '121 Hậu Giang, Phường 5', 'Quận 6', 1, 'cpo-datbike', 'Trạm sạc Mega Market Bình Phú', 10.7461, 106.6251),
('cs-vn-1247', 'Văn Thân, Phường 8', 'Quận 6', 1, 'cpo-vgreen', 'Trạm sạc Bình Tiên', 10.7455, 106.6455),
('cs-vn-1248', 'Trần Văn Kiểu, Phường 10', 'Quận 6', 1, 'cpo-eboost', 'Trạm sạc Công viên Bình Phú', 10.7415, 106.6255),
('cs-vn-1249', 'Chợ Lớn, Phường 11', 'Quận 6', 1, 'cpo-eboost', 'Trạm sạc Chung cư Him Lam', 10.7431, 106.6231),
('cs-vn-1250', 'Lê Quang Sung, Phường 2', 'Quận 6', 1, 'cpo-vgreen', 'Trạm sạc Bến xe Chợ Lớn', 10.7511, 106.6521),
('cs-vn-1251', 'Nguyễn Văn Luông, Phường 11', 'Quận 6', 1, 'cpo-datbike', 'Trạm sạc Công viên Phú Lâm', 10.7481, 106.6211),
('cs-vn-1252', 'Minh Phụng, Phường 9', 'Quận 6', 1, 'cpo-vgreen', 'Trạm sạc Chợ Cây Gõ Q6', 10.7545, 106.6421),
('cs-vn-1253', 'An Dương Vương, Phường 10', 'Quận 6', 1, 'cpo-datbike', 'Trạm sạc KDC Bình Phú', 10.7411, 106.6181),
('cs-vn-1254', 'Bình Tiên, Phường 4', 'Quận 6', 0, 'cpo-vgreen', 'Trạm sạc Cầu Bình Tiên', 10.7465, 106.6415),
('cs-vn-1255', 'Bến Lò Gốm, Phường 7', 'Quận 6', 1, 'cpo-eboost', 'Trạm sạc Cầu Hậu Giang', 10.7425, 106.6351),
('cs-vn-1256', 'Phan Văn Khỏe, Phường 2', 'Quận 6', 1, 'cpo-eboost', 'Trạm sạc Chợ Bãi Sậy', 10.7515, 106.6481),
('cs-vn-1257', 'Hồng Bàng, Phường 12', 'Quận 6', 1, 'cpo-vgreen', 'Trạm sạc BV Quận 6', 10.7531, 106.6525),
('cs-vn-1258', 'Lý Chiêu Hoàng, Phường 10', 'Quận 6', 1, 'cpo-datbike', 'Trạm sạc Chung cư Lucky Palace', 10.7405, 106.6215),
('cs-vn-1259', 'Tân Hòa Đông, Phường 14', 'Quận 6', 1, 'cpo-vgreen', 'Trạm sạc Chợ Phú Lâm', 10.7561, 106.6255),
('cs-vn-1260', 'Phạm Văn Chí, Phường 3', 'Quận 6', 1, 'cpo-datbike', 'Trạm sạc Cầu vượt Cây Gõ Q6', 10.7525, 106.6401),
('cs-vn-1261', 'Võ Văn Kiệt, Phường 7', 'Quận 6', 1, 'cpo-vgreen', 'Trạm sạc Cầu Lò Gốm', 10.7401, 106.6301),
('cs-vn-1262', 'Song Hành, Phường 10', 'Quận 6', 1, 'cpo-eboost', 'Trạm sạc Metro Bình Phú', 10.7421, 106.6201),
('cs-vn-1263', 'Đường số 10, Phường 13', 'Quận 6', 0, 'cpo-eboost', 'Trạm sạc KDC Bà Hom', 10.7535, 106.6151),
('cs-vn-1264', 'Bình Tây, Phường 1', 'Quận 6', 1, 'cpo-vgreen', 'Trạm sạc Chợ Kim Biên Q6', 10.7515, 106.6541),
('cs-vn-1265', 'Kinh Dương Vương, Phường 13', 'Quận 6', 1, 'cpo-datbike', 'Trạm sạc Mũi Tàu Q6', 10.7435, 106.6151),
('cs-vn-1266', 'Nguyễn Văn Luông, Phường 10', 'Quận 6', 1, 'cpo-vgreen', 'Trạm sạc Trường Cao đẳng KT-KT Q6', 10.7455, 106.6225),
('cs-vn-1267', 'Trần Văn Kiểu, Phường 11', 'Quận 6', 1, 'cpo-datbike', 'Trạm sạc Chùa Tuyền Lâm', 10.7441, 106.6261),
('cs-vn-1268', 'Hậu Giang, Phường 12', 'Quận 6', 1, 'cpo-vgreen', 'Trạm sạc Agribank Q6', 10.7471, 106.6301),
('cs-vn-1269', 'Phạm Phú Thứ, Phường 3', 'Quận 6', 1, 'cpo-eboost', 'Trạm sạc Đình Bình Tiên', 10.7505, 106.6435),
('cs-vn-1270', 'Gia Phú, Phường 1', 'Quận 6', 1, 'cpo-eboost', 'Trạm sạc Bến Bình Đông Q6', 10.7491, 106.6511),
('cs-vn-1271', 'Bãi Sậy, Phường 4', 'Quận 6', 0, 'cpo-vgreen', 'Trạm sạc Cầu Chà Và Q6', 10.7501, 106.6465),
('cs-vn-1272', 'Đặng Nguyên Cẩn, Phường 14', 'Quận 6', 1, 'cpo-datbike', 'Trạm sạc Vòng xoay Phú Lâm', 10.7548, 106.6268),
('cs-vn-1273', 'Cao Văn Lầu, Phường 2', 'Quận 6', 1, 'cpo-vgreen', 'Trạm sạc Chợ Bình Tiên mới', 10.7525, 106.6495),
('cs-vn-1274', 'Lê Tuấn Mậu, Phường 13', 'Quận 6', 1, 'cpo-datbike', 'Trạm sạc Công viên Phú Lâm 2', 10.7475, 106.6185),
('cs-vn-1275', 'Tháp Mười, Phường 2', 'Quận 6', 1, 'cpo-vgreen', 'Trạm sạc TTTM Bình Tây', 10.7512, 106.6508),
('cs-vn-1276', 'Bến Phú Định, Phường 16', 'Quận 6', 1, 'cpo-eboost', 'Trạm sạc Cảng Phú Định', 10.7285, 106.6205),
('cs-vn-1277', 'Nguyễn Hữu Thận, Phường 2', 'Quận 6', 1, 'cpo-eboost', 'Trạm sạc Chợ Lớn Q6', 10.7518, 106.6515),
('cs-vn-1278', 'Hoàng Lê Kha, Phường 9', 'Quận 6', 0, 'cpo-vgreen', 'Trạm sạc UBND Q6', 10.7521, 106.6415),
('cs-vn-1279', 'Bình Tiên, Phường 8', 'Quận 6', 1, 'cpo-datbike', 'Trạm sạc Trường THPT Mạc Đĩnh Chi', 10.7488, 106.6428),
('cs-vn-1280', 'Hậu Giang, Phường 6', 'Quận 6', 1, 'cpo-vgreen', 'Trạm sạc Sacombank Hậu Giang', 10.7481, 106.6385),
('cs-vn-1281', 'Trần Bình, Phường 2', 'Quận 6', 1, 'cpo-datbike', 'Trạm sạc Chợ Bình Tây 2', 10.7515, 106.6521),
('cs-vn-1282', 'Lê Quang Sung, Phường 6', 'Quận 6', 1, 'cpo-vgreen', 'Trạm sạc Nhà thiếu nhi Q6', 10.7518, 106.6485),
('cs-vn-1283', 'Minh Phụng, Phường 5', 'Quận 6', 1, 'cpo-eboost', 'Trạm sạc Cây Gõ Plaza', 10.7551, 106.6435),
('cs-vn-1284', 'Ngô Nhân Tịnh, Phường 1', 'Quận 6', 1, 'cpo-eboost', 'Trạm sạc Cầu Ông Lãnh Q6', 10.7531, 106.6555),
('cs-vn-1285', 'Kinh Dương Vương, Phường 14', 'Quận 6', 0, 'cpo-vgreen', 'Trạm sạc Bến xe Miền Tây Q6', 10.7415, 106.6125),
('cs-vn-1286', 'Tân Hòa Đông, Phường 13', 'Quận 6', 1, 'cpo-datbike', 'Trạm sạc Chung cư Da Sà', 10.7585, 106.6155),
('cs-vn-1287', 'Hồng Bàng, Phường 6', 'Quận 6', 1, 'cpo-vgreen', 'Trạm sạc Thuận Kiều Q6', 10.7541, 106.6485),
('cs-vn-1288', 'Phạm Văn Chí, Phường 7', 'Quận 6', 1, 'cpo-datbike', 'Trạm sạc Cầu Lò Gốm 2', 10.7411, 106.6341),
('cs-vn-1289', 'Văn Thân, Phường 7', 'Quận 6', 1, 'cpo-vgreen', 'Trạm sạc Chợ Bình Tiên Q6', 10.7458, 106.6405),
('cs-vn-1290', 'Bến Bãi Sậy, Phường 1', 'Quận 6', 1, 'cpo-eboost', 'Trạm sạc Kênh Tàu Hủ Q6', 10.7505, 106.6565),

-- PHẦN 3: QUẬN 8 (1291 - 1340)
('cs-vn-1291', 'Tạ Quang Bửu, Phường 5', 'Quận 8', 1, 'cpo-vgreen', 'Trạm sạc Central Premium', 10.7381, 106.6721),
('cs-vn-1292', '854 Tùng Thiện Vương, Phường 13', 'Quận 8', 1, 'cpo-vgreen', 'Trạm sạc Cầu Nhị Thiên Đường', 10.7255, 106.6505),
('cs-vn-1293', 'Phạm Hùng, Phường 4', 'Quận 8', 1, 'cpo-eboost', 'Trạm sạc Trung Sơn Plaza', 10.7325, 106.6815),
('cs-vn-1294', '44 Cao Lỗ, Phường 4', 'Quận 8', 1, 'cpo-eboost', 'Trạm sạc ĐH Công Nghệ Sài Gòn', 10.7355, 106.6785),
('cs-vn-1295', 'Bến Bình Đông, Phường 14', 'Quận 8', 0, 'cpo-datbike', 'Trạm sạc Chợ Hoa Tết Quận 8', 10.7285, 106.6455),
('cs-vn-1296', 'Dương Bá Trạc, Phường 1', 'Quận 8', 1, 'cpo-vgreen', 'Trạm sạc Cầu Nguyễn Văn Cừ Q8', 10.7455, 106.6911),
('cs-vn-1297', 'Hưng Phú, Phường 9', 'Quận 8', 1, 'cpo-datbike', 'Trạm sạc Cầu Chữ Y', 10.7485, 106.6855),
('cs-vn-1298', 'Nguyễn Duy, Phường 10', 'Quận 8', 1, 'cpo-eboost', 'Trạm sạc Cầu Hiệp Ân', 10.7351, 106.6621),
('cs-vn-1299', 'Lưu Hữu Phước, Phường 15', 'Quận 8', 1, 'cpo-vgreen', 'Trạm sạc Rạch Cát', 10.7185, 106.6355),
('cs-vn-1300', 'Trịnh Quang Nghị, Phường 7', 'Quận 8', 1, 'cpo-eboost', 'Trạm sạc Khu dân cư Phú Lợi', 10.7021, 106.6351),
('cs-vn-1301', 'Phạm Thế Hiển, Phường 7', 'Quận 8', 1, 'cpo-vgreen', 'Trạm sạc Chợ Ba Đình', 10.7155, 106.6401),
('cs-vn-1302', 'Bến Ba Đình, Phường 8', 'Quận 8', 1, 'cpo-eboost', 'Trạm sạc Cầu Chà Và Q8', 10.7451, 106.6655),
('cs-vn-1303', 'Tạ Quang Bửu, Phường 4', 'Quận 8', 1, 'cpo-eboost', 'Trạm sạc Topaz City', 10.7355, 106.6755),
('cs-vn-1304', 'Phạm Thế Hiển, Phường 4', 'Quận 8', 0, 'cpo-datbike', 'Trạm sạc Cầu Chánh Hưng', 10.7365, 106.6681),
('cs-vn-1305', 'Dương Bá Trạc, Phường 2', 'Quận 8', 1, 'cpo-vgreen', 'Trạm sạc KDC Him Lam Q8', 10.7401, 106.6925),
('cs-vn-1306', 'Phạm Hùng, Phường 5', 'Quận 8', 1, 'cpo-datbike', 'Trạm sạc Satra Phạm Hùng', 10.7311, 106.6831),
('cs-vn-1307', 'Tùng Thiện Vương, Phường 11', 'Quận 8', 1, 'cpo-vgreen', 'Trạm sạc Chợ Xóm Củi', 10.7415, 106.6585),
('cs-vn-1308', 'Nguyễn Tri Phương, Phường 6', 'Quận 8', 1, 'cpo-eboost', 'Trạm sạc Cầu Nguyễn Tri Phương Q8', 10.7465, 106.6701),
('cs-vn-1309', 'Hưng Phú, Phường 10', 'Quận 8', 1, 'cpo-eboost', 'Trạm sạc Chợ Rạch Ông', 10.7471, 106.6811),
('cs-vn-1310', 'Phạm Thế Hiển, Phường 1', 'Quận 8', 0, 'cpo-vgreen', 'Trạm sạc Cầu Rạch Ông', 10.7465, 106.6881),
('cs-vn-1311', 'Lê Quang Kim, Phường 10', 'Quận 8', 1, 'cpo-datbike', 'Trạm sạc Cầu Chữ Y 2', 10.7491, 106.6781),
('cs-vn-1312', 'Mạc Vân, Phường 12', 'Quận 8', 1, 'cpo-vgreen', 'Trạm sạc Chợ Nhị Thiên Đường', 10.7355, 106.6541),
('cs-vn-1313', 'Bến Bình Đông, Phường 11', 'Quận 8', 1, 'cpo-datbike', 'Trạm sạc Đình Bình Đông', 10.7381, 106.6505),
('cs-vn-1314', 'Phạm Thế Hiển, Phường 5', 'Quận 8', 1, 'cpo-vgreen', 'Trạm sạc UBND Q8', 10.7358, 106.6641),
('cs-vn-1315', 'Tạ Quang Bửu, Phường 6', 'Quận 8', 1, 'cpo-eboost', 'Trạm sạc Tara Residence', 10.7325, 106.6551),
('cs-vn-1316', 'Bùi Minh Trực, Phường 5', 'Quận 8', 1, 'cpo-eboost', 'Trạm sạc Chợ Nhị Thiên Đường mới', 10.7305, 106.6585),
('cs-vn-1317', 'Phạm Thế Hiển, Phường 6', 'Quận 8', 0, 'cpo-vgreen', 'Trạm sạc KDC Bình Đăng', 10.7281, 106.6521),
('cs-vn-1318', 'Cao Lỗ, Phường 4', 'Quận 8', 1, 'cpo-datbike', 'Trạm sạc Royal City Q8', 10.7345, 106.6765),
('cs-vn-1319', 'Nguyễn Thị Tần, Phường 2', 'Quận 8', 1, 'cpo-vgreen', 'Trạm sạc Chợ Rạch Ông mới', 10.7455, 106.6845),
